Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
1/1/2022,61,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,7,44,21,61,25
1/2/2022,62,PM2.5,Indio,06-065-2002,AQS,6,40,19,62,30
1/3/2022,73,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,9,40,39,73,36
1/4/2022,84,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,41,47,84,42
1/5/2022,84,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,37,50,84,43
1/6/2022,76,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,11,37,45,76,48
1/7/2022,94,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,13,48,49,94,38
1/8/2022,90,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,7,43,58,90,35
1/9/2022,53,PM2.5,Rubidoux,06-065-8001,AQS,9,44,21,53,24
1/10/2022,41,Ozone,Banning Airport,06-065-0012,AQS,3,41,27,24,22
1/11/2022,44,Ozone,Morongo Air Monitoring Station,06-065-1016,AQS,3,44,28,35,38
1/12/2022,54,PM2.5,Indio,06-065-2002,AQS,7,42,43,54,41
1/13/2022,68,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,10,37,61,68,42
1/14/2022,58,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,14,41,55,58,37
1/15/2022,46,PM2.5,Indio,06-065-2002,AQS,6,42,26,46,35
1/16/2022,55,PM2.5,Indio,06-065-2002,AQS,6,44,29,55,36
1/17/2022,71,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,6,40,40,71,33
1/18/2022,65,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,5,33,29,65,26
1/19/2022,86,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,6,37,40,86,34
1/20/2022,54,PM2.5,Rubidoux,06-065-8001,AQS,7,41,34,54,37
1/21/2022,73,PM10,29 Palms,06-065-0500,AQS,9,41,73,55,35
1/22/2022,55,PM10,Mira Loma (Van Buren),06-065-8005,AQS,2,40,55,34,10
1/23/2022,41,Ozone,Temecula,06-065-0016,AQS,6,41,21,34,35
1/24/2022,59,PM2.5,Mira Loma (Van Buren),06-065-8005,AQS,8,42,41,59,34
1/25/2022,54,PM2.5,Indio,06-065-2002,AQS,10,43,39,54,37
